,OFFENSE_CODE_GROUP,DISTRICT,YEAR,MONTH,DAY_OF_WEEK,HOUR,Lat,Long
350725,Larceny,A1,2016,2,3,9,42.36243437,-71.0639181
350733,Larceny,D4,2016,3,3,0,42.34353469,-71.09980109
350739,Larceny,E13,2016,3,3,16,42.32291406,-71.10328402
350743,Larceny,C11,2016,3,3,15,42.3181199,-71.05673136
350744,Larceny,D4,2016,3,3,15,42.34862382,-71.08277637
350748,Larceny,C6,2016,3,3,16,42.33428841,-71.07239518
350753,Larceny,B2,2016,3,3,12,42.32525553,-71.09365254
350756,Larceny,A1,2016,3,2,17,42.35648631,-71.05928145
350807,Larceny,C6,2016,3,3,12,42.338103100000005,-71.05165463
350810,Larceny,A7,2016,3,3,13,42.37421104,-71.03918485
350877,Larceny,D4,2016,3,3,8,42.33675016,-71.07662788
350955,Larceny,C6,2016,3,2,19,42.347972399999996,-71.07849582
350961,Larceny,A1,2016,3,2,19,42.35426247,-71.05883334
350975,Larceny,A1,2016,3,2,15,42.36556318,-71.05394605
350986,Larceny,D4,2016,3,2,18,42.3473098,-71.07915167
350987,Larceny,D4,2016,3,2,17,42.3483427,-71.0722253
350989,Larceny,A1,2016,3,2,18,42.35202343,-71.06463445
350997,Larceny,D4,2016,3,2,16,42.34932471,-71.08014801
351019,Larceny,D4,2016,3,2,13,42.35059717,-71.07881031
351020,Larceny,E13,2016,3,2,17,42.32158344,-71.11213007
351022,Larceny,D4,2016,3,2,17,42.34160357,-71.0977175
351023,Larceny,D4,2016,3,1,15,42.34353469,-71.09980109
351025,Larceny,A1,2016,3,5,18,42.36445569,-71.06845778
351091,Larceny,D4,2016,3,2,11,42.34999733,-71.08103440000001
351095,Larceny,C6,2015,12,3,17,42.347972399999996,-71.07849582
351098,Larceny,A1,2016,3,2,14,42.35604739,-71.05234304
351101,Larceny,A1,2016,3,2,12,42.36489527,-71.06050249
351124,Larceny,D4,2016,3,2,9,42.35095909,-71.0741278
351132,Larceny,E13,2016,3,1,9,42.3205495,-71.11479066
351146,Larceny,A7,2016,3,2,9,42.37421104,-71.03918485
351197,Larceny,B2,2016,3,1,15,42.31236298,-71.06890381
351220,Larceny,D4,2016,3,1,22,42.34999733,-71.08103440000001
351223,Larceny,C11,2016,3,1,20,42.31891098,-71.05536319
351231,Larceny,B2,2016,3,1,19,42.33380683,-71.10377843
351237,Larceny,E13,2016,3,1,20,42.32188259,-71.10378919
351241,Larceny,D4,2016,3,1,19,42.34489594,-71.09659186
351243,Larceny,E18,2016,3,1,11,42.26036547,-71.12127382
351248,Larceny,D4,2016,3,1,19,42.34932471,-71.08014801
351250,Larceny,B2,2016,3,1,19,42.31483549,-71.06587426
351259,Larceny,D4,2016,3,1,19,42.34980175,-71.07840978
351274,Larceny,C11,2016,3,1,19,42.29903803,-71.05780292
351285,Larceny,D4,2016,3,1,17,42.34999733,-71.08103440000001
351286,Larceny,A1,2016,3,1,15,42.35739591,-71.07008873
351293,Larceny,D4,2016,3,1,16,42.34862382,-71.08277637
351298,Larceny,D4,2016,3,1,16,42.34840576,-71.08688339
351328,Larceny,D4,2016,3,1,14,42.35237073,-71.07227173
351329,Larceny,A1,2016,3,1,14,42.35554806,-71.0607314
351342,Larceny,D4,2016,3,4,18,42.35291291,-71.07508901
351348,Larceny,A1,2016,3,1,12,42.3627524,-71.05556461
351360,Larceny,D4,2016,3,1,12,42.33331285,-71.07322932
351366,Larceny,D4,2016,3,1,10,42.34733078,-71.07112959
351396,Larceny,D4,2016,3,1,10,42.34439568,-71.08632016
351424,Larceny,D4,2016,3,6,10,42.33767953,-71.07529119
351434,Larceny,D4,2016,3,1,8,42.34285014,-71.06516235
351523,Larceny,A1,2016,3,7,18,42.36445569,-71.06845778
351530,Larceny,C11,2016,3,7,17,42.28512354,-71.04405667
351536,Larceny,A15,2016,3,5,21,42.3776959,-71.06592652
351541,Larceny,A1,2016,3,7,17,42.36600842,-71.06403504
351544,Larceny,D4,2016,3,7,16,42.35176179,-71.07452168
351546,Larceny,A1,2016,3,7,16,42.35002128,-71.06595675
351561,Larceny,D4,2016,3,6,14,42.34862382,-71.08277637
351569,Larceny,A1,2016,3,1,17,42.35420018,-71.06185184
351575,Larceny,D4,2016,3,6,20,42.34862382,-71.08277637
